5.1101,17.494
4.4477,9.1204
7.4175,12.554
7.0024,11.744
4.7497,5.7422
7.2749,11.775
7.4754,4.2472
7.4771,14
5.4754,5.4977
4.0445,2.7155
4.7107,2.4444
14.154,14.404
4.724,2.1441
7.4074,7.4447
4.5407,0.71517
4.2794,2.4149
5.2544,4.2047
4.1201,0.45077
5.4495,2.5417
7.0707,4.2792
5.1791,2.1275
40.47,41.757
4.4901,4.452
5.2451,4.1774
4.4549,2.0744
17.944,44.527
14.747,12.401
10.947,7.0457
12.175,14.594
44.402,44.147
4.4444,-1.44
5.4794,4.9955
9.4474,14.124
4.7917,1.7494
7.4111,5.4445
7.9224,4.4542
7.0949,4.1154
4.5052,2.2947
14.725,10.117
5.2424,4.4974
4.4059,0.44547
5.7744,2.9114
11.707,4.2744
4.7727,4.4405
7.7447,5.7217
7.0921,1.0452
4.0704,4.1227
4.7014,1.744
11.7,7.0042
4.4415,1.0179
7.4404,5.7404
4.2077,1.7295
7.4429,4.4774
7.5021,4.9971
5.2247,1.4422
5.2479,-1.4411
5.4744,4.4745
4.5297,4.5044
9.2104,2.9544
9.4425,4.4141
7.7444,4.1594
4.1792,-0.74479
41.479,17.949
14.907,14.044
17.949,17.044
7.4174,4.7744
7.4941,4.7444
10.425,7.7744
4.4994,1.0172
40.241,40.994
10.125,5.5799
7.2244,4.0449
5.0054,1.4774
7.4449,2.2411
4.0459,-4.5707
5.4479,0.49577
7.4275,2.7744
4.0254,4.7014
10.474,5.7445
4.1077,4.0475
4.7494,0.47942
4.1774,0.40441
5.2447,0.57751
9.7577,7.4424
5.4149,4.2425
7.4174,4.4414
9.1704,5.7971
5.004,0.94594
4.4404,0.144
4.0494,4.7414
4.7077,1.7441
7.5255,4.4949
4.7707,7.4049
4.2044,1.9759
7.4924,0.14444
12.294,9.0441
4.4259,0.51704
